Quantity,DigiKey Part #,Description,Link,Unit Price,Datasheet,Item Total,,,
20,"311-2.00KHRCT-ND
 ","   RES SMD 2K OHM 1% 1/10W 0603
            ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-072KL/311-2.00KHRCT-ND/729956,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$2.00,,,
20,"311-100KHRCT-ND
   ","   RES SMD 100K OHM 1% 1/10W 0603
          ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-07100KL/311-100KHRCT-ND/729836,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$2.00,,,
20,"311-10.0KHRCT-ND
 ","   RES SMD 10K OHM 1% 1/10W 0603
           ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-0710KL/311-10.0KHRCT-ND/729827,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$2.00,,,
20,"Y8470CT-ND
             ","   RES ARRAY 2 RES 47 OHM 0606
             ",https://www.digikey.com/product-detail/en/panasonic-electronic-components/EXB-34V470JV/Y8470CT-ND/256454,0.11000,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,$2.20,,,
30,"311-0.0GRCT-ND
     ","   RES SMD 0 OHM JUMPER 1/10W 0603
         ",https://www.digikey.com/product-detail/en/yageo/RC0603JR-070RL/311-0.0GRCT-ND/729622,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$3.00,,,
5,ACASA-2.0K/2.,"   RES ARRAY 4 RES 2K OHM 1206
             ",https://www.digikey.com/product-detail/en/vishay-beyschlag/ACASA200122001P100/ACASA-2.0K-2.0K-2CT-ND/2288125,0.74000,http://www.vishay.com/docs/28754/acasprof.pdf,$3.70,,,
55,"311-49.9HRCT-ND
   ","   RES SMD 49.9 OHM 1% 1/10W 0603
          ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-0749R9L/311-49.9HRCT-ND/730211,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$5.50,,,
10,"YAG1237CT-ND
         ","   RES SMD 1K OHM 0.1% 1/10W 0603
          ",https://www.digikey.com/product-detail/en/yageo/RT0603BRD071KL/YAG1237CT-ND/4340590,0.34000,http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf,$3.40,,,
10,"311-120HRCT-ND
     ","   RES SMD 120 OHM 1% 1/10W 0603
           ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-07120RL/311-120HRCT-ND/729867,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$1.00,,,
10,"311-220HRCT-ND
     ","   RES SMD 220 OHM 1% 1/10W 0603
           ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-07220RL/311-220HRCT-ND/730008,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$1.00,,,
10,"311-680HRCT-ND
     ","   RES SMD 680 OHM 1% 1/10W 0603
           ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-07680RL/311-680HRCT-ND/730302,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$1.00,,,
10,"YAG4551CT-ND
         ","   RES SMD 3.92KOHM 0.1% 1/10W 0603
        ",https://www.digikey.com/product-detail/en/yageo/RT0603BRD073K92L/YAG4551CT-ND/6616707,0.34000,http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf,$3.40,,,
10,"YAG4723CT-ND
         ","   RES SMD 3.74KOHM 0.1% 1/10W 0603
        ",https://www.digikey.com/product-detail/en/yageo/RT0603BRE073K74L/YAG4723CT-ND/6616879,0.33000,http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf,$3.30,,,
10,"311-1.50KHRCT-ND
 ","   RES SMD 1.5K OHM 1% 1/10W 0603
          ",https://www.digikey.com/product-detail/en/yageo/RC0603FR-071K5L/311-1.50KHRCT-ND/729811,0.10000,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,$1.00,,,
